>>>  [RYBNIK];;;;;(c) PZI 'TARAN' Mielec  www.taran.com.pl **;;19.11.2021;;07:10;#1;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

Przystanki:;;;;;;;;;;;;;;

;;;;;;;;;;;;

Lp; Ulica ; Nazwa przystanku ;;;; S³upek ; Nrprzystanku ; Nrs³upka ; Strefa ; PKPasa ; PKKier ; Nr inwentarzowy ; Urz¹dzenie przystankowe ;;; Autobus ; Inny - Techniczny ; Koleje PKP; GPS-D³ugoœæ ; GPS-Szerokoœæ ; GPS-pochodzenia ; GPS-Strefa; Lok.wg drogi; Nazwa skrócona ; Nazwa na wydruk ; Nazwa dla SRG ; Piktogram ; Wymowa skrócona ; Wymowa rozszerzona ; Ulica ; Miejscowoœæ ; Kraj ; Gmina ; Osiedle ; Nazwakrañca ; Ids³upka ; Modyfikowa³ ; Data edycji; Godzedycji ; Symbol przystanku ;; Symbol s³upka;; Dodatkowe inf. ;;
459;Morcinka;R-k Niewiadom Morcinka;;;;Kon;304;1;0;;;;;;;ABus;;;18,27,43.0;50,03,38.6;Brak;50;;Niewiadom Morci;Niewiadom Morcinka;Niewiadom Morci;;Niewiadom Morcinka;Niewiadom Morcinka;Morcinka;Rybnik;;RYBNIK;NIEWIADOM;;848;.GRZEGORZ;24-08-2021;08:06:32;;;;;;;
460;Rac³awicka;R-k Niewiadom Rac³awicka;;;;Dw. Kol.;57;0;0;;;;;;;ABus;;;18,28,32.2;50,04,16.0;Brak;50;;Nw Rac³awicka;Niewiadom Rac³awicka;Nw Rac³awicka;;Niewiadom Rac³awicka;Niewiadom Rac³awicka;Rac³awicka;Rybnik;;RYBNIK;NIEWIADOM;;100;.GRZEGORZ;27-04-2021;07:44:20;;;;;;;
461;Rac³awicka;R-k Niewiadom Rac³awicka;;;;Cegielnia;57;1;0;;;;;;;ABus;;;18,28,32.2;50,04,16.0;Brak;50;;Nw Rac³awicka;Niewiadom Rac³awicka;Nw Rac³awicka;;Niewiadom Rac³awicka;Niewiadom Rac³awicka;Rac³awicka;Rybnik;;RYBNIK;NIEWIADOM;;110;.GRZEGORZ;11-05-2017;09:18:59;;;;;;;
462;Sportowa;R-k Niewiadom Sportowa;;;;Ignacy;404;0;0;;;;;;;ABus;;;18,28,02.0;50,03,38.5;Brak;20;;Nw Sportowa;R-k Niewiadom Sportowa;Nw Sportowa;;Niewiadom Sportowa;Niewiadom Sportowa;Sportowa;Rybnik;;RYBNIK;NIEWIADOM;;822;.GRZEGORZ;27-06-2018;06:27:51;;;;;;;
463;Sportowa;R-k Niewiadom Sportowa;;;;Dw. Kol;404;1;0;;;;;;;ABus;;;18,27,59.6;50,03,40.0;Brak;20;;Nw Sportowa;R-k Niewiadom Sportowa;Nw Sportowa;;Niewiadom Sportowa;Niewiadom Sportowa;Sportowa;Rybnik;;RYBNIK;NIEWIADOM;;823;.GRZEGORZ;27-04-2021;07:44:42;;;;;;;
464;Sportowa;R-k Niewiadom Szko³a;;;;Frontowa;84;0;0;;;;;;;ABus;;;18,27,52.9;50,04,32.2;Brak;50;;Nw Szko³a;Niewiadom Szko³a;Nw Szko³a;;Niewiadom Szko³a;Niewiadom Szko³a;Sportowa;Rybnik;;RYBNIK;NIEWIADOM;;167;.GRZEGORZ;27-04-2021;07:44:59;;;;;;;
>>>  [RYBNIK];;;;;(c) PZI 'TARAN' Mielec  www.taran.com.pl **;;19.11.2021;;07:10;#17;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

Przystanki:;;;;;;;;;;;;;;

;;;;;;;;;;;;

Lp; Ulica ; Nazwa przystanku ;;;; S³upek ; Nrprzystanku ; Nrs³upka ; Strefa ; PKPasa ; PKKier ; Nr inwentarzowy ; Urz¹dzenie przystankowe ;;; Autobus ; Inny - Techniczny ; Koleje PKP; GPS-D³ugoœæ ; GPS-Szerokoœæ ; GPS-pochodzenia ; GPS-Strefa; Lok.wg drogi; Nazwa skrócona ; Nazwa na wydruk ; Nazwa dla SRG ; Piktogram ; Wymowa skrócona ; Wymowa rozszerzona ; Ulica ; Miejscowoœæ ; Kraj ; Gmina ; Osiedle ; Nazwakrañca ; Ids³upka ; Modyfikowa³ ; Data edycji; Godzedycji ; Symbol przystanku ;; Symbol s³upka;; Dodatkowe inf. ;;
465;Sportowa;R-k Niewiadom Szko³a;;;;Dw. Kol;84;1;0;;;;;;;ABus;;;18,27,56.9;50,04,26.6;Brak;50;;Nw Szko³a;Niewiadom Szko³a;Nw Szko³a;;Niewiadom Szko³a;Niewiadom Szko³a;Sportowa;Rybnik;;RYBNIK;NIEWIADOM;;168;.GRZEGORZ;27-04-2021;07:45:20;;;;;;;
466;Rybnicka;R-k Ochojec Centrum;;;;M³ynek;219;0;0;;;;;;;ABus;;;18,32,26.2;50,10,00.1;Brak;50;;Och Centrum;Ochojec Centrum;Och Centrum;;Ochojec Centrum;Ochojec Centrum;Rybnicka;Rybnik;;RYBNIK;OCHOJEC;;447;.GRZEGORZ;27-11-2017;06:34:46;;;;;;;
467;Rybnicka;R-k Ochojec Centrum;;;;Wilcza;219;1;0;;;;;;;ABus;;;18,32,26.2;50,10,00.1;Brak;50;;Och Centrum;Ochojec Centrum;Och Centrum;;Ochojec Centrum;Ochojec Centrum;Rybnicka;Rybnik;;RYBNIK;OCHOJEC;;821;.GRZEGORZ;11-05-2017;09:19:14;;;;;;;
468;Rybnicka;R-k Ochojec Centrum;;;;Koniec;219;2;0;;;;;;;ABus;;;18,32,26.2;50,10,00.1;Brak;50;;Och Centrum;Ochojec Centrum;Och Centrum;;Ochojec Centrum;Ochojec Centrum;Rybnicka;Rybnik;;RYBNIK;OCHOJEC;;849;.GRZEGORZ;27-04-2021;07:45:41;;;;;;;
469;£ukowa;R-k Ochojec Koœció³;;;;Centrum;218;0;0;;;;;;;ABus;;;18,32,53.9;50,09,51.8;Brak;50;;Och Koœció³;Ochojec Koœció³;Och Koœció³;;Ochojec Koœció³;Ochojec Koœció³;£ukowa;Rybnik;;RYBNIK;OCHOJEC;;446;DBTARAN1;27-11-2017;06:34:46;;;;;;;
470;£ukowa;R-k Ochojec Koœció³;;;;M³ynek;218;1;0;;;;;;;ABus;;;18,32,53.9;50,09,51.8;Brak;50;;Och Koœció³;Ochojec Koœció³;Och Koœció³;;Ochojec Koœció³;Ochojec Koœció³;£ukowa;Rybnik;;RYBNIK;OCHOJEC;;831;ALASKA0;03-02-2017;11:56:14;;;;;;;
471;Rybnicka;R-k Ochojec M³ynek;;;;Centrum;217;0;0;;;;;;;ABus;;;18,32,34.1;50,09,32.0;Brak;50;;Och M³ynek;Ochojec M³ynek;Och M³ynek;;Ochojec M³ynek;Ochojec M³ynek;Rybnicka;Rybnik;;RYBNIK;OCHOJEC;;444;.GRZEGORZ;27-11-2017;06:34:46;;;;;;;
472;Rybnicka;R-k Ochojec M³ynek;;;;Siedliska;217;1;0;;;;;;;ABus;;;18,32,35.8;50,09,32.3;Brak;50;;Och M³ynek;Ochojec M³ynek;Och M³ynek;;Ochojec M³ynek;Ochojec M³ynek;Rybnicka;Rybnik;;RYBNIK;OCHOJEC;;445;.GRZEGORZ;16-08-2017;10:31:44;;;;;;;
473;Storczyków;R-k Orzepowice Borki;;;;Szpital;80;0;0;;;;;;;ABus;;;18,31,09.8;50,06,52.9;Brak;50;;O Borki;Orzepowice Borki;O Borki;;Orzepowice Borki;Orzepowice Borki;Storczyków;Rybnik;;RYBNIK;ORZEPOWICE;;154;.GRZEGORZ;11-05-2017;09:19:33;;;;;;;
474;Storczyków;R-k Orzepowice Borki;;;;Koniec;80;1;0;;;;;;;ABus;;;18,31,09.8;50,06,52.9;Brak;50;;O Borki;Orzepowice Borki;O Borki;;Orzepowice Borki;Orzepowice Borki;Storczyków;Rybnik;;RYBNIK;ORZEPOWICE;;155;.GRZEGORZ;27-04-2021;07:46:06;;;;;;;
475;Borki;R-k Orzepowice Borki 1;;;;Zebrzyd.;397;0;0;;;;;;;ABus;;;18,30,51.5;50,06,46.2;Brak;0;;O Borki 1;R-k Orzepowice Borki 1;O Borki 1;;Orzepowice Borki 1;Orzepowice Borki 1;Borki;Rybnik;;RYBNIK;ORZEPOWICE;;806;.GRZEGORZ;27-04-2021;07:46:41;;;;;;;
476;Borki;R-k Orzepowice Borki 1;;;;Rondo;397;1;0;;;;;;;ABus;;;18,30,51.5;50,06,46.2;Brak;0;;O Borki 1;R-k Orzepowice Borki 1;O Borki 1;;Orzepowice Borki 1;Orzepowice Borki 1;Borki;Rybnik;;RYBNIK;ORZEPOWICE;;820;.GRZEGORZ;11-05-2017;09:19:47;;;;;;;
477;Borki;R-k Orzepowice Borki 2;;;;Zebrzyd;403;0;0;;;;;;;ABus;;;18,30,32.5;50,06,40.5;Brak;0;;O. Borki 2;R-k Orzepowice Borki 2;O. Borki 2;;Orzepowice Borki 2;Orzepowice Borki 2;Borki;Rybnik;;RYBNIK;ORZEPOWICE;;813;.GRZEGORZ;27-04-2021;07:52:46;;;;;;;
478;Borki;R-k Orzepowice Borki 2;;;;Borki 1;403;1;0;;;;;;;ABus;;;18,30,32.5;50,06,40.5;Brak;0;;O. Borki 2;R-k Orzepowice Borki 2;O. Borki 2;;Orzepowice Borki 2;Orzepowice Borki 2;Borki;Rybnik;;RYBNIK;ORZEPOWICE;;819;.GRZEGORZ;27-04-2021;07:52:59;;;;;;;
479;Rudzka;R-k Orzepowice KuŸnia;;;;Wawok;104;0;0;;;;;;;ABus;;;18,31,30.5;50,07,02.8;Brak;50;;O KuŸnia;Orzepowice KuŸnia;O KuŸnia;;Orzepowice KuŸnia;Orzepowice KuŸnia;Rudzka;Rybnik;;RYBNIK;ORZEPOWICE;;207;.GRZEGORZ;15-10-2020;09:48:42;;;;;;;
480;Rudzka;R-k Orzepowice KuŸnia;;;;Rondo;104;1;0;;;;;;;;;;18,31,38.4;50,06,58.4;Brak;50;;O KuŸnia;R-k Orzepowice KuŸnia;O KuŸnia;;Orzepowice KuŸnia;Orzepowice KuŸnia;Rudzka;Rybnik;;RYBNIK;ORZEPOWICE;;208;.GRZEGORZ;27-04-2021;07:54:23;;;;;;;
481;Rudzka;R-k Orzepowice Rondo;;;;KuŸnia;107;1;0;;;;;;;ABus;;;18,31,15.4;50,07,10.2;Brak;50;;O Rondo;Orzepowice Rondo;O Rondo;;Orzepowice Rondo;Orzepowice Rondo;Rudzka;Rybnik;;RYBNIK;ORZEPOWICE;;214;.GRZEGORZ;15-10-2020;09:47:43;;;;;;;
482;Rudzka;R-k Orzepowice Rondo;;;;Chwa³êcice;107;0;0;;;;;;;ABus;;;18,31,18.8;50,07,09.5;Brak;50;;O Rondo;Orzepowice Rondo;O Rondo;;Orzepowice Rondo;Orzepowice Rondo;Rudzka;Rybnik;;RYBNIK;ORZEPOWICE;;213;.GRZEGORZ;27-04-2021;07:55:07;;;;;;;
483;Góreckiego;R-k Orzepowice Rondo;;;;Przystañ;107;2;0;;;;;;;ABus;;;18,31,09.1;50,07,10.1;Brak;50;;O Rondo;Orzepowice Rondo;O Rondo;;Orzepowice Rondo;Orzepowice Rondo;Góreckiego;Rybnik;;RYBNIK;ORZEPOWICE;;772;.GRZEGORZ;27-04-2021;07:54:51;;;;;;;
484;Góreckiego;R-k Orzepowice Rondo;;;;Krakusa;107;3;0;;;;;;;ABus;;;18,31,05.8;50,07,07.3;Brak;50;;O Rondo;Orzepowice Rondo;O Rondo;;Orzepowice Rondo;Orzepowice Rondo;Góreckiego;Rybnik;;RYBNIK;ORZEPOWICE;;773;.GRZEGORZ;11-05-2017;09:20:28;;;;;;;
485;Energetyków;R-k Orzepowice Szpital Woj;;;;Dw. aut;81;0;0;;;;;;;ABus;;;18,31,22.9;50,06,44.8;Brak;50;;O Szpital;Orzepowice Szpital Wojewódzki;O Szpial;;Orzepowice Szpital Wojewódzki;Orzepowice Szpital Wojewódzki;Energetyków;Rybnik;;RYBNIK;ORZEPOWICE;;156;.GRZEGORZ;27-04-2021;07:55:41;;;;;;;
486;Energetyków;R-k Orzepowice Szpital Woj;;;;Rondo;81;1;0;;;;;;;ABus;;;18,31,23.2;50,06,47.2;Brak;50;;O Szpital;Orzepowice Szpital Wojewódzki;O Szpial;;Orzepowice Szpital Wojewódzki;Orzepowice Szpital Wojewódzki;Energetyków;Rybnik;;RYBNIK;ORZEPOWICE;;157;.GRZEGORZ;27-04-2021;07:55:54;;;;;;;
487;Groborza;R-k Paruszowiec Piaski B³onia;;;;Stawowa;165;1;0;;;;;;;ABus;;;18,34,53.0;50,06,02.9;Brak;50;;Par B³onia;Paruszowiec Piaski B³onia;Par B³onia;;Paruszowiec Piaski B³onia;Paruszowiec Piaski B³onia;Groborza;Rybnik;;RYBNIK;PARUSZOWIEC-PIASKI;;325;.GRZEGORZ;11-05-2017;09:20:40;;;;;;;
488;Groborza;R-k Paruszowiec Piaski B³onia;;;;Paruszowie;165;0;0;;;;;;;ABus;;;18,34,54.0;50,06,04.0;Brak;50;;Par B³onia;Paruszowiec Piaski B³onia;Par B³onia;;Paruszowiec Piaski B³onia;Paruszowiec Piaski B³onia;Groborza;Rybnik;;RYBNIK;PARUSZOWIEC-PIASKI;;324;.GRZEGORZ;27-04-2021;07:56:23;;;;;;;
489;Miko³owska;R-k Paruszowiec Piaski HutaSilesia;;;;Piasta;149;1;0;;;;;;;ABus;;;18,34,00.1;50,06,08.5;Brak;50;;Par H Silesia;Paruszowiec Piaski Huta Silesia;Par H Silesia;;Paruszowiec Piaski Huta Silesia;Paruszowiec Piaski Huta Silesia;Miko³owska;Rybnik;;RYBNIK;PARUSZOWIEC-PIASKI;;299;.GRZEGORZ;27-04-2021;07:57:22;;;;;;;
490;Przemys³owa;R-k Paruszowiec Piaski HutaSilesia;;;;Bazylika;149;2;0;;;;;;;ABus;;;18,34,00.8;50,06,04.0;Brak;50;;Par H Silesia;Paruszowiec Piaski Huta Silesia;Par H Silesia;;Paruszowiec Piaski Huta Silesia;Paruszowiec Piaski Huta Silesia;Przemys³owa;Rybnik;;RYBNIK;PARUSZOWIEC-PIASKI;;390;.GRZEGORZ;27-04-2021;07:57:38;;;;;;;
491;Miko³owska;R-k Paruszowiec Piaski HutaSilesia;;;;Miko³owska;149;0;0;;;;;;;ABus;;;18,33,54.6;50,06,06.0;Brak;50;;Par H Silesia;Paruszowiec Piaski Huta Silesia;Par H Silesia;;Paruszowiec Piaski Huta Silesia;Paruszowiec Piaski Huta Silesia;Miko³owska;Rybnik;;RYBNIK;PARUSZOWIEC-PIASKI;;298;.GRZEGORZ;24-11-2017;08:47:53;;;;;;;
492;Miko³owska;R-k Paruszowiec PiaskiMiko³owska;;;;Huta;150;1;0;;;;;;;ABus;;;18,34,24.9;50,06,19.7;Brak;50;;Par Miko³owska;Paruszowiec Piaski Miko³owska;Par Miko³owska;;Paruszowiec Piaski Miko³owska;Paruszowiec Piaski Miko³owska;Miko³owska;Rybnik;;RYBNIK;PARUSZOWIEC-PIASKI;;301;.GRZEGORZ;24-11-2017;08:47:53;;;;;;;
493;Miko³owska;R-k Paruszowiec PiaskiMiko³owska;;;;Kamieñ;150;0;0;;;;;;;ABus;;;18,34,27.1;50,06,20.3;Brak;50;;Par Miko³owska;Paruszowiec Piaski Miko³owska;Par Miko³owska;;Paruszowiec Piaski Miko³owska;Paruszowiec Piaski Miko³owska;Miko³owska;Rybnik;;RYBNIK;PARUSZOWIEC-PIASKI;;300;.GRZEGORZ;24-11-2017;08:47:53;;;;;;;
>>>  [RYBNIK];;;;;(c) PZI 'TARAN' Mielec  www.taran.com.pl **;;19.11.2021;;07:10;#18;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

Przystanki:;;;;;;;;;;;;;;

;;;;;;;;;;;;

Lp; Ulica ; Nazwa przystanku ;;;; S³upek ; Nrprzystanku ; Nrs³upka ; Strefa ; PKPasa ; PKKier ; Nr inwentarzowy ; Urz¹dzenie przystankowe ;;; Autobus ; Inny - Techniczny ; Koleje PKP; GPS-D³ugoœæ ; GPS-Szerokoœæ ; GPS-pochodzenia ; GPS-Strefa; Lok.wg drogi; Nazwa skrócona ; Nazwa na wydruk ; Nazwa dla SRG ; Piktogram ; Wymowa skrócona ; Wymowa rozszerzona ; Ulica ; Miejscowoœæ ; Kraj ; Gmina ; Osiedle ; Nazwakrañca ; Ids³upka ; Modyfikowa³ ; Data edycji; Godzedycji ; Symbol przystanku ;; Symbol s³upka;; Dodatkowe inf. ;;
494;Przemys³owa;R-k Paruszowiec PiaskiPrzemys³owa;;;;B³onia;166;1;0;;;;;;;ABus;;;18,34,31.1;50,05,53.9;Brak;50;;Paruszowiec;Paruszowiec Piaski Przemys³owa;Paruszowiec;;Paruszowiec PiaskiPrzemys³owa;Paruszowiec PiaskiPrzemys³owa;Przemys³owa;Rybnik;;RYBNIK;PARUSZOWIEC-PIASKI;;327;.GRZEGORZ;11-05-2017;09:21:41;;;;;;;
495;Przemys³owa;R-k Paruszowiec PiaskiPrzemys³owa;;;;Koniec;166;2;0;;;;;;;ABus;;;18,34,32.9;50,05,53.2;Brak;50;;Paruszowiec;Paruszowiec Piaski Przemys³owa;Paruszowiec;;Paruszowiec PiaskiPrzemys³owa;Paruszowiec PiaskiPrzemys³owa;Przemys³owa;Rybnik;;RYBNIK;PARUSZOWIEC-PIASKI;;392;.GRZEGORZ;27-04-2021;07:58:13;;;;;;;
496;Przemys³owa;R-k Paruszowiec PiaskiPrzemys³owa;;;;Piaski;166;0;0;;;;;;;ABus;;;18,34,33.0;50,05,53.0;Brak;50;;Paruszowiec;Paruszowiec Piaski Przemys³owa;Paruszowiec;;Paruszowiec PiaskiPrzemys³owa;Paruszowiec PiaskiPrzemys³owa;Przemys³owa;Rybnik;;RYBNIK;PARUSZOWIEC-PIASKI;;326;.GRZEGORZ;24-11-2017;08:43:00;;;;;;;
497;Stawowa;R-k Paruszowiec Piaski Stawowa;;;;B³onie;164;0;0;;;;;;;ABus;;;18,34,37.9;50,06,11.9;Brak;50;;Par Stawowa;Paruszowiec Piaski Stawowa;Par Stawowa;;Paruszowiec Piaski Stawowa;Paruszowiec Piaski Stawowa;Stawowa;Rybnik;;RYBNIK;PARUSZOWIEC-PIASKI;;322;.GRZEGORZ;11-05-2017;09:21:46;;;;;;;
498;Stawowa;R-k Paruszowiec Piaski Stawowa;;;;Huta;164;1;0;;;;;;;ABus;;;18,34,41.2;50,06,11.2;Brak;50;;Par Stawowa;Paruszowiec Piaski Stawowa;Par Stawowa;;Paruszowiec Piaski Stawowa;Paruszowiec Piaski Stawowa;Stawowa;Rybnik;;RYBNIK;PARUSZOWIEC-PIASKI;;323;.GRZEGORZ;11-05-2017;09:21:46;;;;;;;
499;Wolna;R-k Paruszowiec Piaski Wolna;;;;Skrzy¿.;167;0;0;;;;;;;ABus;;;18,35,14.7;50,05,42.6;Brak;50;;Piaski;Paruszowiec Piaski Wolna;Piaski;;Paruszowiec Piaski Wolna;Paruszowiec Piaski Wolna;Wolna;Rybnik;;RYBNIK;PARUSZOWIEC-PIASKI;;328;.GRZEGORZ;27-04-2021;07:58:55;;;;;;;
500;Wolna;R-k Paruszowiec Piaski Wolna;;;;Piaski;167;1;0;;;;;;;ABus;;;18,35,15.1;50,05,43.0;Brak;50;;Piaski;Paruszowiec Piaski Wolna;Piaski;;Paruszowiec Piaski Wolna;Paruszowiec Piaski Wolna;Wolna;Rybnik;;RYBNIK;PARUSZOWIEC-PIASKI;;329;.GRZEGORZ;27-04-2021;07:59:12;;;;;;;
501;;R-k Pod Wa³em;;;;¯u¿lowa;413;0;0;;;;;;;ABus;;;00,00,00.0;00,00,00.0;Brak;0;;R-k Pod Wa³em;R-k Pod Wa³em;R-k Pod Wa³em;;R-k Pod Wa³em;R-k Pod Wa³em;;;;;;;841;ALASKA0;15-03-2018;13:43:03;;;;;;;
502;Konarskiego;R-k Popielów Konarskiego;;;;Skrzy¿.;147;0;0;;;;;;;ABus;;;18,30,34.9;50,03,02.9;Brak;50;;Pop Konarskiego;Popielów Konarskiego;Pop Konarskiego;;Popielów Konarskiego;Popielów Konarskiego;Konarskiego;Rybnik;;RYBNIK;POPIELÓW;;296;.GRZEGORZ;27-04-2021;07:59:33;;;;;;;
503;Konarskiego;R-k Popielów Konarskiego;;;;Koœció³;147;1;0;;;;;;;ABus;;;18,30,34.9;50,03,02.9;Brak;50;;Pop Konarskiego;Popielów Konarskiego;Pop Konarskiego;;Popielów Konarskiego;Popielów Konarskiego;Konarskiego;Rybnik;;RYBNIK;POPIELÓW;;700;.GRZEGORZ;27-04-2021;07:59:51;;;;;;;
504;Staffa;R-k Popielów Koœció³;;;;Radziejów;99;0;0;;;;;;;ABus;;;18,30,56.9;50,03,13.0;Brak;50;;Pop Koœció³;Popielów Koœció³;Pop Koœció³;;Popielów Koœció³;Popielów Koœció³;Staffa;Rybnik;;RYBNIK;POPIELÓW;;197;.GRZEGORZ;11-05-2017;09:22:05;;;;;;;
505;Staffa;R-k Popielów Koœció³;;;;Staffa;99;1;0;;;;;;;ABus;;;18,30,56.9;50,03,13.0;Brak;50;;Pop Koœció³;Popielów Koœció³;Pop Koœció³;;Popielów Koœció³;Popielów Koœció³;Staffa;Rybnik;;RYBNIK;POPIELÓW;;198;.GRZEGORZ;24-11-2017;08:59:01;;;;;;;
506;Konarskiego;R-k Popielów Koœció³;;;;Konarskieg;99;2;0;;;;;;;ABus;;;18,30,59.0;50,03,07.9;Brak;50;;Pop Koœció³;Popielów Koœció³;Pop Koœció³;;Popielów Koœció³;Popielów Koœció³;Konarskiego;Rybnik;;RYBNIK;POPIELÓW;;295;.GRZEGORZ;24-11-2017;08:55:55;;;;;;;
507;Konarskiego;R-k Popielów Koœció³;;;;Radziej;99;3;0;;;;;;;ABus;;;18,30,59.0;50,03,07.9;Brak;50;;Pop Koœció³;Popielów Koœció³;Pop Koœció³;;Popielów Koœció³;Popielów Koœció³;Konarskiego;Rybnik;;RYBNIK;POPIELÓW;;701;.GRZEGORZ;27-04-2021;08:00:40;;;;;;;
508;Niepodleg³oœci;R-k Popielów Niepod³eg³oœci?;;;;Jank;369;0;0;;;;;;;ABus;;;00,00,00.0;00,00,00.0;Brak;50;;Pop Niepod;R-k Popielów Niepod³eg³oœci?;Pop Niepod;;R-k Popielów Niepod³eg³oœci?;R-k Popielów Niepod³eg³oœci?;Niepodleg³oœci;Rybnik;;RYBNIK;POPIELÓW;;741;.GRZEGORZ;15-03-2018;13:43:03;;;;;;;
509;Niepodleg³oœci;R-k Popielów Niepod³eg³oœci?;;;;Radlin;369;1;0;;;;;;;ABus;;;00,00,00.0;00,00,00.0;Brak;50;;Pop Niepod;R-k Popielów Niepod³eg³oœci?;Pop Niepod;;R-k Popielów Niepod³eg³oœci?;R-k Popielów Niepod³eg³oœci?;Niepodleg³oœci;Rybnik;;RYBNIK;POPIELÓW;;744;.GRZEGORZ;15-03-2018;13:43:03;;;;;;;
510;Konarskiego;R-k Popielów Skrzy¿owanie;;;;Popielów;97;2;0;;;;;;;ABus;;;18,30,19.1;50,03,15.8;Brak;50;;Pop Skrzy¿;Popielów Skrzy¿owanie;Pop Skrzy¿;;Popielów Skrzy¿owanie;Popielów Skrzy¿owanie;Konarskiego;Rybnik;;RYBNIK;POPIELÓW;;474;.GRZEGORZ;11-05-2017;09:22:26;;;;;;;
511;Konarskiego;R-k Popielów Skrzy¿owanie;;;;Rymer;97;3;0;;;;;;;ABus;;;18,30,19.1;50,03,15.8;Brak;50;;Pop Skrzy¿;Popielów Skrzy¿owanie;Pop Skrzy¿;;Popielów Skrzy¿owanie;Popielów Skrzy¿owanie;Konarskiego;Rybnik;;RYBNIK;POPIELÓW;;475;.GRZEGORZ;11-05-2017;09:22:26;;;;;;;
512;Wodzis³awska;R-k Popielów Skrzy¿owanie;;;;¯abik;97;0;0;;;;;;;ABus;;;18,30,25.4;50,03,16.8;Brak;50;;Pop Skrzy¿;Popielów Skrzy¿owanie;Pop Skrzy¿;;Popielów Skrzy¿owanie;Popielów Skrzy¿owanie;Wodzis³awska;Rybnik;;RYBNIK;POPIELÓW;;193;.GRZEGORZ;24-11-2017;08:55:55;;;;;;;
513;Wodzis³awska;R-k Popielów Skrzy¿owanie;;;;Worcella;97;1;0;;;;;;;ABus;;;18,30,26.1;50,03,19.2;Brak;50;;Pop Skrzy¿;Popielów Skrzy¿owanie;Pop Skrzy¿;;Popielów Skrzy¿owanie;Popielów Skrzy¿owanie;Wodzis³awska;Rybnik;;RYBNIK;POPIELÓW;;194;.GRZEGORZ;27-04-2021;08:03:10;;;;;;;
514;Staffa;R-k Popielów Staffa;;;;Koœció³;98;0;0;;;;;;;ABus;;;18,30,37.1;50,03,22.0;Brak;50;;Pop Staffa;Popielów Staffa;Pop Staffa;;Popielów Staffa;Popielów Staffa;Staffa;Rybnik;;RYBNIK;POPIELÓW;;195;.GRZEGORZ;11-05-2017;09:22:32;;;;;;;
515;Staffa;R-k Popielów Staffa;;;;Skrzy¿.;98;1;0;;;;;;;ABus;;;18,30,37.1;50,03,22.0;Brak;50;;Pop Staffa;Popielów Staffa;Pop Staffa;;Popielów Staffa;Popielów Staffa;Staffa;Rybnik;;RYBNIK;POPIELÓW;;196;.GRZEGORZ;27-04-2021;08:01:43;;;;;;;
516;Wodzis³awska;R-k Popielów Wodzis³awska;;;;Wiadukt;229;0;0;;;;;;;ABus;;;18,30,03.1;50,02,47.7;Brak;50;;Pop Wodz;Popielów Wodzis³awska;Pop Wodz;;Popielów Wodzis³awska;Popielów Wodzis³awska;Wodzis³awska;Rybnik;;RYBNIK;POPIELÓW;;470;.GRZEGORZ;27-04-2021;08:02:02;;;;;;;
517;Wodzis³awska;R-k Popielów Wodzis³awska;;;;Skrzy¿.;229;1;1;;;;;;;ABus;;;18,30,04.0;50,02,48.1;Brak;50;;Pop Wodz;Popielów Wodzis³awska;Pop Wodz;;Popielów Wodzis³awska;Popielów Wodzis³awska;Wodzis³awska;Rybnik;;RYBNIK;POPIELÓW;;471;.GRZEGORZ;27-04-2021;08:02:20;;;;;;;
518;Niepodleg³oœci;R-k Popielów Wodzis³awska;;;;P skrzy¿1;229;2;0;;;;;;;ABus;;;18,30,04.9;50,02,42.0;Brak;50;;Pop Wodz;Popielów Wodzis³awska;Pop Wodz;;Popielów Wodzis³awska;Popielów Wodzis³awska;Niepodleg³oœci;Rybnik;;RYBNIK;POPIELÓW;;706;.GRZEGORZ;11-05-2017;09:23:04;;;;;;;
519;Konarskiego;R-k Popielów Worcella;;;;Kopalnia;402;0;0;;;;;;;ABus;;;18,30,01.5;50,03,21.4;Brak;50;;Pop Worcella;Popielów Worcella;Pop Worcella;;Popielów Worcella;Popielów Worcella;Konarskiego;Rybnik;;RYBNIK;POPIELÓW;;811;.GRZEGORZ;27-04-2021;08:02:36;;;;;;;
520;Konarskiego;R-k Popielów Worcella;;;;Skrzy¿.;402;1;0;;;;;;;ABus;;;18,30,01.5;50,03,21.4;Brak;50;;Pop Worcella;Popielów Worcella;Pop Worcella;;Popielów Worcella;Popielów Worcella;Konarskiego;Rybnik;;RYBNIK;POPIELÓW;;812;.GRZEGORZ;27-04-2021;08:02:51;;;;;;;
521;Wodzis³awska;R-k Popielów ¯abik;;;;Pary¿;228;1;0;;;;;;;ABus;;;18,30,42.0;50,03,40.0;Brak;50;;Pop ¯abik;Popielów ¯abik;Pop ¯abik;;Popielów ¯abik;Popielów ¯abik;Wodzis³awska;Rybnik;;RYBNIK;POPIELÓW;;469;.GRZEGORZ;27-04-2021;08:03:27;;;;;;;
