>>>  [RYBNIK];;;;;(c) PZI 'TARAN' Mielec  www.taran.com.pl **;;19.11.2021;;07:10;#1;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

Przystanki:;;;;;;;;;;;;;;

;;;;;;;;;;;;

Lp; Ulica ; Nazwa przystanku ;;;; S³upek ; Nrprzystanku ; Nrs³upka ; Strefa ; PKPasa ; PKKier ; Nr inwentarzowy ; Urz¹dzenie przystankowe ;;; Autobus ; Inny - Techniczny ; Koleje PKP; GPS-D³ugoœæ ; GPS-Szerokoœæ ; GPS-pochodzenia ; GPS-Strefa; Lok.wg drogi; Nazwa skrócona ; Nazwa na wydruk ; Nazwa dla SRG ; Piktogram ; Wymowa skrócona ; Wymowa rozszerzona ; Ulica ; Miejscowoœæ ; Kraj ; Gmina ; Osiedle ; Nazwakrañca ; Ids³upka ; Modyfikowa³ ; Data edycji; Godzedycji ; Symbol przystanku ;; Symbol s³upka;; Dodatkowe inf. ;;
26;Rzuchowska;Dzimierz;;;;Pstr¹¿na;320;0;1;;;;;;;ABus;;;18,21,15.5;50,06,20.6;Brak;50;;Dzimierz;Dzimierz;Dzimierz;;Dzimierz;Dzimierz;Rzuchowska;Lyski;;LYSKI;;;657;.GRZEGORZ;11-05-2017;08:41:33;;;;;;;
27;Rzuchowska;Dzimierz;;;;¯ytna;320;1;1;;;;;;;ABus;;;18,21,15.5;50,06,20.6;Brak;50;;Dzimierz;Dzimierz;Dzimierz;;Dzimierz;Dzimierz;Rzuchowska;Lyski;;LYSKI;;;659;.GRZEGORZ;11-05-2017;08:41:33;;;;;;;
28;Kolejowa;Gaszowice Cegielnia;;;;£ pkp;180;0;1;;;;;;;ABus;;;18,25,22.1;50,06,22.0;Brak;50;;G Cegielnia;Gaszowice Cegielnia;G Cegielnia;;Gaszowice Cegielnia;Gaszowice Cegielnia;Kolejowa;Gaszowice;;GASZOWICE;;;355;.GRZEGORZ;23-09-2021;09:05:16;;;;;;;
29;Kolejowa;Gaszowice Cegielnia;;;;G UG;180;1;1;;;;;;;ABus;;;18,25,22.1;50,06,22.0;Brak;50;;G Cegielnia;Gaszowice Cegielnia;G Cegielnia;;Gaszowice Cegielnia;Gaszowice Cegielnia;Kolejowa;Gaszowice;;GASZOWICE;;;356;.GRZEGORZ;23-09-2021;09:06:07;;;;;;;
>>>  [RYBNIK];;;;;(c) PZI 'TARAN' Mielec  www.taran.com.pl **;;19.11.2021;;07:10;#2;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

Przystanki:;;;;;;;;;;;;;;

;;;;;;;;;;;;

Lp; Ulica ; Nazwa przystanku ;;;; S³upek ; Nrprzystanku ; Nrs³upka ; Strefa ; PKPasa ; PKKier ; Nr inwentarzowy ; Urz¹dzenie przystankowe ;;; Autobus ; Inny - Techniczny ; Koleje PKP; GPS-D³ugoœæ ; GPS-Szerokoœæ ; GPS-pochodzenia ; GPS-Strefa; Lok.wg drogi; Nazwa skrócona ; Nazwa na wydruk ; Nazwa dla SRG ; Piktogram ; Wymowa skrócona ; Wymowa rozszerzona ; Ulica ; Miejscowoœæ ; Kraj ; Gmina ; Osiedle ; Nazwakrañca ; Ids³upka ; Modyfikowa³ ; Data edycji; Godzedycji ; Symbol przystanku ;; Symbol s³upka;; Dodatkowe inf. ;;
30;Sumiñska;Gaszowice Las;;;;;314;0;1;;;;;;;ABus;;;18,25,37.8;50,07,04.5;Brak;50;;Gasz Las;Gaszowice Las;Gasz Las;;Gaszowice Las;Gaszowice Las;Sumiñska;Gaszowice;;GASZOWICE;;;640;.GRZEGORZ;28-09-2018;10:28:09;;;;;;;
31;Sumiñska;Gaszowice Las;;;;Sz kaplica;314;1;1;;;;;;;ABus;;;18,25,37.8;50,07,04.5;Brak;50;;Gasz Las;Gaszowice Las;Gasz Las;;Gaszowice Las;Gaszowice Las;Sumiñska;Gaszowice;;GASZOWICE;;;641;.GRZEGORZ;28-09-2018;10:28:09;;;;;;;
32;Wiejska;Gaszowice Pogwizdów;;;;Sumina;188;0;1;;;;;;;ABus;;;18,25,14.2;50,06,42.8;Brak;50;;G Pogwizdów;Gaszowice Pogwizdów;G Pogwizdów;;Gaszowice Pogwizdów;Gaszowice Pogwizdów;Wiejska;Gaszowice;;GASZOWICE;;;372;.GRZEGORZ;23-09-2021;09:02:32;;;;;;;
33;Wiejska;Gaszowice Pogwizdów;;;;G UG;188;1;1;;;;;;;ABus;;;18,25,14.2;50,06,42.8;Brak;50;;G Pogwizdów;Gaszowice Pogwizdów;G Pogwizdów;;Gaszowice Pogwizdów;Gaszowice Pogwizdów;Wiejska;Gaszowice;;GASZOWICE;;;373;.GRZEGORZ;23-09-2021;09:02:59;;;;;;;
34;Rydu³towska;Gaszowice Rydu³towska;;;;Piece;192;0;1;;;;;;;ABus;;;18,25,46.8;50,06,05.8;Brak;50;;G Rydu³towska;Gaszowice Rydu³towska;G Rydu³towska;;Gaszowice Rydu³towska;Gaszowice Rydu³towska;Rydu³towska;Gaszowice;;GASZOWICE;;;381;.GRZEGORZ;23-09-2021;09:03:41;;;;;;;
35;Rydu³towska;Gaszowice Rydu³towska;;;;Gaszowice;192;1;1;;;;;;;ABus;;;18,25,46.5;50,06,05.8;Brak;50;;G Rydu³towska;Gaszowice Rydu³towska;G Rydu³towska;;Gaszowice Rydu³towska;Gaszowice Rydu³towska;Rydu³towska;Gaszowice;;GASZOWICE;;;382;.GRZEGORZ;23-09-2021;09:04:27;;;;;;;
36;Rybnicka;Gaszowice UG;;;;Cegielnia;179;0;1;;;;;;;ABus;;;18,25,52.0;50,06,31.0;Brak;50;;Gasz UG;Gaszowice UG;Gasz UG;;Gaszowice UG;Gaszowice UG;Rybnicka;Gaszowice;;GASZOWICE;;;353;.GRZEGORZ;23-09-2021;09:07:06;;;;;;;
37;Rybnicka;Gaszowice UG;;;;Szczerbice;179;1;1;;;;;;;ABus;;;18,25,52.1;50,06,31.8;Brak;50;;Gasz UG;Gaszowice UG;Gasz UG;;Gaszowice UG;Gaszowice UG;Rybnicka;Gaszowice;;GASZOWICE;;;354;.GRZEGORZ;23-09-2021;09:07:46;;;;;;;
38;¯orska;Gotartowice Pêtla;;;;Kon;292;0;0;;;;;;;ABus;;;18,37,44.0;50,04,26.1;Brak;50;;Got Pêtla;Gotartowice Pêtla;Got Pêtla;;Gotartowice Pêtla;Gotartowice Pêtla;¯orska;Rybnik;;RYBNIK;GOTARTOWICE;;603;DBTARAN1;15-03-2018;13:43:03;;;;;;;
