>>> AN-SKASBIL-211 [RYBNIK];;;;;(c) PZI 'TARAN' Mielec  www.taran.com.pl **;;18.11.2021;18:46;;#1;
;;;;;;;;;;;;;

Skasowania i sprzeda¿ biletów w pojazdach (iloœæ) w okresie27-09-2021 - 01-10-2021;;;;;;;;;;;;;
Kursy : Szczegó³owy;;;;;;;;;;;;;;;
Filtr :   - Kursówki : Wszystkie  - Kursy : Wszystkie;;;;;;;;;;;;;;;
   Kursówka: 01   Linia:  6   Wariant: D - Plac Wolnoœci-Marcel   Kurs:  04:55;;;;;;;
Przystanek;;Skasowañ elektronicznych;;Sprzedanychu kierowcy;;Razem;
;;Portmonetka;Terminowe;;;;
20 ; R-k Œródmieœcie PlacWolnoœci 1;5 ;5 ; ;;10 ;
21 ; R-k Pó³noc Rondo Gliwickie; ; ; ;; ;
>>> AN-SKASBIL-211 [RYBNIK];;;;;(c) PZI 'TARAN' Mielec  www.taran.com.pl **;;18.11.2021;18:46;;#4;
;;;;;;;;;;;;;

Skasowania i sprzeda¿ biletów w pojazdach (iloœæ) w okresie27-09-2021 - 01-10-2021;;;;;;;;;;;;;
Kursy : Szczegó³owy;;;;;;;;;;;;;;;
Filtr :   - Kursówki : Wszystkie  - Kursy : Wszystkie;;;;;;;;;;;;;;;
22 ; R-k Pó³noc Rudzka Cmentarz; ;1 ; ;;1 ;
23 ; R-k Pó³noc Wawok; ; ; ;; ;
24 ; R-k Orzepowice KuŸnia; ; ; ;; ;
25 ; R-k Orzepowice Szpital Woj; ; ; ;; ;
26 ; Rybnik Dworzec Autobusowy5; ; ; ;; ;
 Razem: ;;59 ;46 ;14 ;;119 ;

   Kursówka: 01   Linia:  14   Wariant: C - DA-G Rondo-DA   Kurs:  12:48;;;;;;;
Przystanek;;Skasowañ elektronicznych;;Sprzedanychu kierowcy;;Razem;
;;Portmonetka;Terminowe;;;;
1 ; Rybnik Dworzec Autobusowy4;3 ;2 ; ;;5 ;
2 ; R-k Smolna Kotucza;4 ; ; ;;4 ;
3 ; R-k Smolna Reymonta;2 ;3 ; ;;5 ;
4 ; R-k Smolna RondoWodzis³awskie;1 ;1 ;2 ;;4 ;
5 ; R-k Œródmieœcie DworzecKolejowy;2 ;3 ; ;;5 ;
6 ; R-k Œródmieœcie Chrobrego;2 ; ; ;;2 ;
7 ; R-k Œródmieœcie PlacWolnoœci 2;20 ;20 ; ;;40 ;
8 ; R-k Pó³noc Gliwicka Szpital;4 ; ;5 ;;9 ;
9 ; R-k Pó³noc K¹pielisko Ruda;1 ;1 ; ;;2 ;
10 ; R-k Wielopole Skrzy¿owanie; ; ; ;; ;
11 ; R-k Wielopole Szko³a; ;1 ; ;;1 ;
12 ; R-k Wielopole Wiadukt; ; ; ;; ;
13 ; R-k Golejów Górka; ; ; ;; ;
14 ; R-k Golejów Kaplica; ; ; ;; ;
15 ; R-k Golejów Rondo;3 ;2 ;1 ;;6 ;
16 ; R-k Golejów Siedliska; ; ; ;; ;
17 ; R-k Ochojec M³ynek; ; ; ;; ;
18 ; R-k Ochojec Koœció³;1 ; ; ;;1 ;
19 ; R-k Ochojec Centrum;5 ;1 ; ;;6 ;
20 ; R-k Ochojec M³ynek; ; ;5 ;;5 ;
21 ; R-k Golejów Siedliska;2 ; ; ;;2 ;
22 ; R-k Golejów Skrzy¿owanie;2 ;1 ; ;;3 ;
23 ; R-k Golejów Górka; ; ; ;; ;
24 ; R-k Wielopole Wiadukt; ; ; ;; ;
25 ; R-k Wielopole Szko³a;2 ;6 ; ;;8 ;
26 ; R-k Wielopole Skrzy¿owanie; ; ; ;; ;
27 ; R-k Pó³noc K¹pielisko Ruda; ; ; ;; ;
28 ; R-k Pó³noc Gliwicka Szpital; ; ; ;; ;
29 ; R-k Œródmieœcie PlacWolnoœci 3;1 ;3 ; ;;4 ;
30 ; R-k Œródmieœcie 3 Maja; ;1 ; ;;1 ;
31 ; R-k Œródmieœcie Urszulanki; ;3 ; ;;3 ;
32 ; R-k Œródmieœcie ReymontaZUS;1 ; ; ;;1 ;
33 ; R-k Smolna Reymonta; ; ; ;; ;
34 ; R-k Smolna Kotucza; ; ; ;; ;
35 ; Rybnik Dworzec AutobusowyA; ; ; ;; ;
 Razem: ;;56 ;48 ;13 ;;117 ;

   Kursówka: 01   Linia:  6   Wariant: A - DA- Marcel   Kurs:  13:59;;;;;;;
Przystanek;;Skasowañ elektronicznych;;Sprzedanychu kierowcy;;Razem;
;;Portmonetka;Terminowe;;;;
1 ; Rybnik Dworzec Autobusowy4;7 ;2 ; ;;9 ;
2 ; R-k Maroko Nowiny¯o³êdziowa;1 ; ;1 ;;2 ;
3 ; R-k Orzepowice Szpital Woj;1 ;6 ; ;;7 ;
4 ; R-k Orzepowice KuŸnia; ; ; ;; ;
5 ; R-k Pó³noc Wawok; ;1 ; ;;1 ;
6 ; R-k Pó³noc Rudzka Cmentarz;1 ;3 ; ;;4 ;
7 ; R-k Pó³noc Rondo Gliwickie;6 ;3 ; ;;9 ;
8 ; R-k Œródmieœcie PlacWolnoœci 2;20 ;16 ; ;;36 ;
9 ; R-k Œródmieœcie 3 Maja;5 ;6 ;2 ;;13 ;
10 ; R-k Œródmieœcie Urszulanki;3 ;3 ; ;;6 ;
11 ; R-k Œródmieœcie S¹d;6 ;4 ; ;;10 ;
>>> AN-SKASBIL-211 [RYBNIK];;;;;(c) PZI 'TARAN' Mielec  www.taran.com.pl **;;18.11.2021;18:46;;#5;
;;;;;;;;;;;;;

Skasowania i sprzeda¿ biletów w pojazdach (iloœæ) w okresie27-09-2021 - 01-10-2021;;;;;;;;;;;;;
Kursy : Szczegó³owy;;;;;;;;;;;;;;;
Filtr :   - Kursówki : Wszystkie  - Kursy : Wszystkie;;;;;;;;;;;;;;;
12 ; R-k Smolna Franciszkanie;2 ;2 ; ;;4 ;
13 ; R-k Smolna Osiedle;1 ; ;2 ;;3 ;
14 ; R-k Zamys³ów Wodzis³awska;4 ; ; ;;4 ;
15 ; R-k Niedobczyce Pary¿; ;4 ; ;;4 ;
16 ; R-k Popielów ¯abik; ; ; ;; ;
17 ; R-k Popielów Skrzy¿owanie;1 ; ; ;;1 ;
18 ; R-k Popielów Worcella;1 ;1 ; ;;2 ;
19 ; R-k Niedobczyce KopalniaRymer; ; ; ;; ;
20 ; R-k Niedobczyce Stadion;6 ;1 ;1 ;;8 ;
21 ; R-k Niedobczyce Orlik;2 ; ; ;;2 ;
22 ; R-k Niedobczyce Wrêbowa; ;1 ; ;;1 ;
23 ; Radlin Rogozina; ; ; ;; ;
24 ; Radlin Korfantego Centrum; ; ; ;; ;
25 ; Radlin KorfantegoMakuszyñskiego; ;1 ; ;;1 ;
26 ; Radlin Korfantego KWKMarcel; ; ; ;; ;
27 ; Radlin Ujejskiego; ; ; ;; ;
 Razem: ;;67 ;54 ;6 ;;127 ;

   Kursówka: 01   Linia:  3   Wariant: F - Marcel-DA   Kurs:  15:09;;;;;;;
Przystanek;;Skasowañ elektronicznych;;Sprzedanychu kierowcy;;Razem;
;;Portmonetka;Terminowe;;;;
1 ; Radlin Ujejskiego;2 ; ; ;;2 ;
2 ; Radlin Korfantego KWKMarcel; ; ; ;; ;
3 ; Radlin KorfantegoMakuszyñskiego;2 ; ;1 ;;3 ;
4 ; Radlin Korfantego Centrum;10 ;1 ;1 ;;12 ;
5 ; Radlin Rogozina; ; ; ;; ;
6 ; R-k Niedobczyce Wrêbowa;6 ; ; ;;6 ;
7 ; R-k Niedobczyce Orlik;3 ;2 ;1 ;;6 ;
8 ; R-k Niedobczyce Stadion;9 ;2 ;2 ;;13 ;
9 ; R-k Niedobczyce Szko³a;1 ;4 ; ;;5 ;
10 ; R-k Niedobczyce Karolinka; ;1 ; ;;1 ;
11 ; R-k Niedobczyce Pary¿; ; ; ;; ;
12 ; R-k Zamys³ów Wodzis³awska; ; ; ;; ;
13 ; R-k Smolna Osiedle; ; ; ;; ;
14 ; R-k Smolna Franciszkanie; ; ; ;; ;
15 ; R-k Œródmieœcie S¹d; ; ; ;; ;
16 ; R-k Œródmieœcie DworzecKolejowy;1 ; ; ;;1 ;
17 ; R-k Œródmieœcie Chrobrego; ; ; ;; ;
18 ; R-k Œródmieœcie PlacWolnoœci 1; ;2 ; ;;2 ;
19 ; R-k Pó³noc Rondo Gliwickie; ; ; ;; ;
20 ; Rybnik Dworzec Autobusowy4; ; ; ;; ;
 Razem: ;;34 ;12 ;5 ;;51 ;

   Kursówka: 01   Linia:  4   Wariant: A - 4 DA-Niewiadom-DA   Kurs:  15:59;;;;;;;
Przystanek;;Skasowañ elektronicznych;;Sprzedanychu kierowcy;;Razem;
;;Portmonetka;Terminowe;;;;
1 ; Rybnik Dworzec Autobusowy2;3 ;10 ; ;;13 ;
2 ; R-k Pó³noc Rondo Gliwickie; ; ;1 ;;1 ;
3 ; R-k Œródmieœcie PlacWolnoœci 2;15 ;16 ; ;;31 ;
4 ; R-k Œródmieœcie 3 Maja;4 ;3 ;3 ;;10 ;
5 ; R-k Œródmieœcie Urszulanki;2 ;1 ; ;;3 ;
6 ; R-k Œródmieœcie ReymontaZUS; ; ; ;; ;
7 ; R-k Smolna Osiedle;4 ;1 ; ;;5 ;
8 ; R-k Zamys³ów Wodzis³awska;2 ; ; ;;2 ;
9 ; R-k Niedobczyce Pary¿;1 ; ; ;;1 ;
10 ; R-k Niedobczyce Karolinka;1 ;1 ; ;;2 ;
11 ; R-k Niedobczyce Szko³a; ; ; ;; ;
12 ; R-k Niedobczyce Stadion;3 ;2 ; ;;5 ;
13 ; R-k Niedobczyce Janasa; ; ; ;; ;
14 ; R-k Niedobczyce Ha³dy;2 ; ; ;;2 ;
15 ; R-k Niewiadom KopalniaIgnacy; ;1 ; ;;1 ;
>>> AN-SKASBIL-211 [RYBNIK];;;;;(c) PZI 'TARAN' Mielec  www.taran.com.pl **;;18.11.2021;18:46;;#6;
;;;;;;;;;;;;;

Skasowania i sprzeda¿ biletów w pojazdach (iloœæ) w okresie27-09-2021 - 01-10-2021;;;;;;;;;;;;;
Kursy : Szczegó³owy;;;;;;;;;;;;;;;
Filtr :   - Kursówki : Wszystkie  - Kursy : Wszystkie;;;;;;;;;;;;;;;
16 ; R-k Niewiadom Sportowa;2 ; ; ;;2 ;
17 ; R-k Niewiadom Dworzec Kol.;1 ; ;1 ;;2 ;
18 ; R-k Niewiadom Szko³a; ;4 ;1 ;;5 ;
19 ; R-k Niewiadom Frontowa; ; ; ;; ;
20 ; Radoszowy Koœció³; ; ; ;; ;
21 ; R-k Niewiadom Frontowa;4 ;1 ;1 ;;6 ;
22 ; R-k Niewiadom Kol Helena;1 ; ;1 ;;2 ;
23 ; R-k Niewiadom Kol Beata; ; ; ;; ;
24 ; R-k Maroko Nowiny Graniczna;2 ;1 ; ;;3 ;
25 ; R-k Maroko Nowiny Brzozowa; ;1 ; ;;1 ;
26 ; R-k Maroko NowinyRaciborska;2 ; ; ;;2 ;
27 ; R-k Smolna S³awików; ; ; ;; ;
28 ; R-k Œródmieœcie S¹d; ; ;1 ;;1 ;
29 ; R-k Œródmieœcie DworzecKolejowy;1 ; ; ;;1 ;
30 ; R-k Œródmieœcie Chrobrego; ; ; ;; ;
31 ; R-k Œródmieœcie PlacWolnoœci 1; ;1 ; ;;1 ;
32 ; R-k Pó³noc Rondo Gliwickie; ; ; ;; ;
33 ; Rybnik Dworzec AutobusowyA; ; ; ;; ;
 Razem: ;;50 ;43 ;9 ;;102 ;

   Kursówka: 02   Linia:  1   Wariant: E - S¹d-Niewiadom   Kurs:  04:32;;;;;;;
Przystanek;;Skasowañ elektronicznych;;Sprzedanychu kierowcy;;Razem;
;;Portmonetka;Terminowe;;;;
1 ; R-k Œródmieœcie S¹d; ; ; ;; ;
2 ; R-k Smolna Franciszkanie; ; ; ;; ;
3 ; R-k Smolna Osiedle; ; ; ;; ;
4 ; R-k Zamys³ów Plebiscytowa; ; ; ;; ;
5 ; R-k Zamys³ów Niedobczycka; ; ; ;; ;
6 ; R-k Zamys³ów Wrzosy; ; ; ;; ;
7 ; R-k NiedobczyceNiedobczycka; ; ; ;; ;
8 ; R-k Niedobczyce Szko³a; ; ; ;; ;
9 ; R-k NiedobczyceWo³odyjowskiego; ; ; ;; ;
10 ; R-k Niedobczyce Cegielnia; ; ; ;; ;
11 ; R-k Niewiadom Rac³awicka; ; ; ;; ;
12 ; R-k Niewiadom Dworzec Kol.;2 ; ; ;;2 ;
13 ; R-k Niewiadom Sportowa; ; ; ;; ;
 Razem: ;;2 ; ; ;;2 ;

   Kursówka: 02   Linia:  1   Wariant: D - Niewiadom-DA   Kurs:  04:56;;;;;;;
Przystanek;;Skasowañ elektronicznych;;Sprzedanychu kierowcy;;Razem;
;;Portmonetka;Terminowe;;;;
1 ; R-k Niewiadom Sportowa;13 ;4 ; ;;17 ;
2 ; R-k Niewiadom Dworzec Kol.; ; ; ;; ;
3 ; R-k Niewiadom Rac³awicka;4 ; ; ;;4 ;
4 ; R-k Niedobczyce Cegielnia; ; ; ;; ;
5 ; R-k NiedobczyceWo³odyjowskiego; ;8 ; ;;8 ;
6 ; R-k Niedobczyce Szko³a; ;2 ;1 ;;3 ;
7 ; R-k NiedobczyceNiedobczycka; ; ; ;; ;
8 ; R-k Zamys³ów Wrzosy;1 ; ; ;;1 ;
9 ; R-k Zamys³ów Niedobczycka; ; ; ;; ;
10 ; R-k Zamys³ów Plebiscytowa; ; ; ;; ;
11 ; R-k Smolna Osiedle;4 ; ; ;;4 ;
12 ; R-k Smolna Franciszkanie; ; ; ;; ;
13 ; R-k Œródmieœcie S¹d; ; ; ;; ;
14 ; R-k Œródmieœcie DworzecKolejowy; ; ; ;; ;
15 ; R-k Œródmieœcie Chrobrego; ; ; ;; ;
