>>> AN-SKASBIL-211 [RYBNIK];;;;;(c) PZI 'TARAN' Mielec  www.taran.com.pl **;;18.11.2021;19:19;;#1;
;;;;;;;;;;;;;

Skasowania i sprzeda¿ biletów w pojazdach (iloœæ) w okresie19-09-2021 - 19-09-2021;;;;;;;;;;;;;
Kursy : Szczegó³owy;;;;;;;;;;;;;;;
Filtr :   - Kursówki : Wszystkie  - Kursy : Wszystkie;;;;;;;;;;;;;;;
   Kursówka: 1   Linia:  1   Wariant: C - DA-Niewiadom   Kurs:  08:14;;;;;;;
Przystanek;;Skasowañ elektronicznych;;Sprzedanychu kierowcy;;Razem;
3 ; Rydu³towy Traugutta Granica; ; ; ;; ;
4 ; Rydu³towy Rynek; ; ; ;; ;
5 ; Rydu³towy Ofiar Terroru;1 ;1 ;1 ;;3 ;
6 ; Rydu³towy Mickiewicza; ; ; ;; ;
7 ; Rydu³towy Or³owiec;1 ;1 ; ;;2 ;
8 ; Rydu³towy Kowalski; ; ;1 ;;1 ;
9 ; Rydu³towy Piekarnia; ; ; ;; ;
10 ; R-k Niewiadom Frontowa; ; ; ;; ;
11 ; R-k Niewiadom Kol Helena;1 ; ; ;;1 ;
12 ; R-k Niewiadom Kol Beata; ; ; ;; ;
13 ; R-k Maroko Nowiny Graniczna;1 ; ; ;;1 ;
14 ; R-k Maroko Nowiny Brzozowa; ; ; ;; ;
15 ; R-k Maroko NowinyRaciborska; ; ; ;; ;
16 ; R-k Smolna Reymonta;1 ;1 ; ;;2 ;
17 ; R-k Smolna RondoWodzis³awskie; ; ; ;; ;
18 ; R-k Œródmieœcie DworzecKolejowy; ; ; ;; ;
19 ; R-k Œródmieœcie Koœciuszki; ; ; ;; ;
20 ; R-k Œródmieœcie Bazylika; ; ; ;; ;
21 ; R-k Œródmieœcie Piasta; ; ; ;; ;
22 ; R-k Pó³noc Rondo Gliwickie; ; ; ;; ;
23 ; Rybnik Dworzec AutobusowyA; ; ; ;; ;
 Razem: ;;5 ;3 ;2 ;;10 ;

   Kursówka: 10-1   Linia:  14   Wariant: A - 14 DA-Ochojec-DA   Kurs:  08:58;;;;;;;
Przystanek;;Skasowañ elektronicznych;;Sprzedanychu kierowcy;;Razem;
;;Portmonetka;Terminowe;;;;
1 ; Rybnik Dworzec Autobusowy4;1 ; ; ;;1 ;
2 ; R-k Smolna Kotucza; ; ; ;; ;
3 ; R-k Smolna Reymonta; ; ; ;; ;
4 ; R-k Smolna RondoWodzis³awskie; ; ; ;; ;
5 ; R-k Œródmieœcie DworzecKolejowy;1 ; ; ;;1 ;
6 ; R-k Œródmieœcie Chrobrego; ; ; ;; ;
7 ; R-k Œródmieœcie PlacWolnoœci 2; ;1 ; ;;1 ;
8 ; R-k Pó³noc Gliwicka Szpital; ; ; ;; ;
9 ; R-k Pó³noc K¹pielisko Ruda; ; ; ;; ;
10 ; R-k Wielopole Skrzy¿owanie; ; ; ;; ;
